0.503489,0.512411
0.498694,0.434228
0.497017,0.460301
0.478454,0.353855
0.499062,0.408802
0.499147,0.376305
0.498988,0.297759
0.322492,0.296869
0.498918,0.230645
0.499232,0.195570
0.499843,0.075445
0.503576,0.522362
0.502939,0.532500
0.501953,0.539332
0.502756,0.577170
0.503293,0.592593
0.503212,0.611119
0.502442,0.628295
0.494330,0.642885
0.498267,0.447473
0.475957,0.447947
0.244997,0.198905
0.396014,0.313755
0.370053,0.318105
0.345408,0.317419
0.312994,0.303120
0.418132,0.303969
0.360669,0.245755
0.388872,0.247894
0.334442,0.249211
0.317585,0.258360
0.294617,0.316402
0.407338,0.658801
0.314363,0.292264
0.235202,0.307215
0.271808,0.294421
0.376630,0.417057
0.474382,0.507870
0.477334,0.532106
0.445945,0.519848
0.427774,0.532009
0.455683,0.535904
0.439381,0.541603
0.385507,0.581225
0.478957,0.433825
0.475877,0.409654
0.284667,0.227761
0.424652,0.354693
0.420375,0.428784
0.418021,0.415898
0.307673,0.415406
0.476964,0.379322
0.338703,0.203147
0.306291,0.211018
0.266353,0.153007
0.446666,0.222995
0.413520,0.256199
0.370141,0.553086
0.267436,0.532935
0.438885,0.442756
0.458910,0.450599
0.408094,0.554296
0.414892,0.554431
0.295575,0.191956
0.419091,0.440388
0.383531,0.204730
0.380124,0.183019
0.360480,0.090275
0.281356,0.175127
0.373712,0.136641
0.273192,0.213843
0.258828,0.212429
0.475437,0.521019
0.450780,0.528483
0.433361,0.537039
0.444648,0.447661
0.411580,0.554455
0.420833,0.566456
0.418165,0.554371
0.451049,0.433562
0.443925,0.544267
0.459626,0.540200
0.479117,0.538496
0.459727,0.640188
0.470443,0.623763
0.472925,0.606976
0.475978,0.588522
0.479103,0.574566
0.444101,0.565420
0.438463,0.571190
0.431714,0.579363
0.426039,0.588077
0.395919,0.507412
0.237428,0.413402
0.497790,0.453636
0.432487,0.560803
0.426840,0.563309
0.465635,0.460231
0.427453,0.455328
0.462552,0.455535
0.398856,0.369213
0.360837,0.386101
0.413813,0.427522
0.302682,0.115699
0.317506,0.148500
0.331570,0.181273
0.403698,0.602910
0.439927,0.188352
0.432465,0.135044
0.424089,0.078281
0.324426,0.312364
0.270271,0.332146
0.432127,0.295577
0.293822,0.264946
0.442295,0.338289
0.435508,0.418502
0.252103,0.354128
0.282558,0.352123
0.311149,0.363360
0.358204,0.359543
0.394343,0.347905
0.421623,0.335202
0.475626,0.304346
0.256413,0.405661
0.276805,0.258205
0.486523,0.446894
0.426186,0.378259
0.230162,0.304583
0.441985,0.321520
0.411530,0.429230
0.304956,0.287267
0.433876,0.402942
0.247947,0.471181
0.433215,0.288070
0.455279,0.388431
0.317619,0.594442
0.319608,0.619040
0.237661,0.410640
0.289763,0.560892
0.246208,0.256739
0.404441,0.679143
0.488569,0.452929
0.404342,0.396939
0.254693,0.296411
