path,name,file_size,file_size_str,epoch,best_val_acc,best_val_f1,has_history,has_model,has_optimizer,has_scheduler,num_epochs_trained,final_train_loss,final_train_acc,final_val_loss,final_val_acc,final_val_f1,max_val_acc,max_val_f1,total_params,trainable_params
outputs/combined/checkpoints/best_checkpoint.pth,best_checkpoint.pth,398690482,380.22 MB,33,0.11217881763108419,0.06483116974299184,True,True,True,True,33,3.2797917150128337,0.1692696712777034,3.7954472338005276,0.11217881763108419,0.06483116974299184,0.11217881763108419,0.06483116974299184,33219694,0
outputs/combined/checkpoints/checkpoint_epoch_0100.pth,checkpoint_epoch_0100.pth,398695914,380.23 MB,100,0.11217881763108419,0.07259057814263371,True,True,True,True,100,2.478593934399731,0.31063513312509294,5.826670154291029,0.09640693545017756,0.05940537818032205,0.11217881763108419,0.07259057814263371,33219694,0
outputs/combined/checkpoints/checkpoint_epoch_0200.pth,checkpoint_epoch_0200.pth,398700394,380.23 MB,200,0.11217881763108419,0.0805289099458153,True,True,True,True,200,1.394622730637845,0.5701621300014874,10.122831738963864,0.09024441194902862,0.05749607318706969,0.11217881763108419,0.0805289099458153,33219694,0
outputs/combined/checkpoints/checkpoint_epoch_0300.pth,checkpoint_epoch_0300.pth,398704938,380.23 MB,300,0.11217881763108419,0.08572153011708629,True,True,True,True,300,0.7338613190254463,0.7648371262829095,11.818837846075041,0.0914978065594318,0.07048353327428761,0.11217881763108419,0.08572153011708629,33219694,0
outputs/combined/checkpoints/checkpoint_epoch_0400.pth,checkpoint_epoch_0400.pth,398709418,380.24 MB,400,0.11217881763108419,0.08572153011708629,True,True,True,True,400,0.4082256314372548,0.8697605235757846,14.701157013757856,0.09682473365364529,0.07714772873541556,0.11217881763108419,0.08572153011708629,33219694,0
outputs/combined/checkpoints/checkpoint_epoch_0500.pth,checkpoint_epoch_0500.pth,398713898,380.24 MB,500,0.11217881763108419,0.08572153011708629,True,True,True,True,500,0.2845593036471175,0.9100699092666964,15.802314432971732,0.09588468769584291,0.07605177238929399,0.11217881763108419,0.08572153011708629,33219694,0
outputs/combined/checkpoints/checkpoint_epoch_0600.pth,checkpoint_epoch_0600.pth,398718442,380.25 MB,600,0.11217881763108419,0.08572153011708629,True,True,True,True,600,,0.07386583370519113,,0.07405473156465427,0.010211962399949407,0.11217881763108419,0.08572153011708629,33219694,0
outputs/combined/checkpoints/checkpoint_epoch_0700.pth,checkpoint_epoch_0700.pth,398722922,380.25 MB,700,0.11217881763108419,0.08572153011708629,True,True,True,True,700,,0.07386583370519113,,0.07405473156465427,0.010211962399949407,0.11217881763108419,0.08572153011708629,33219694,0
outputs/combined/checkpoints/checkpoint_epoch_0800.pth,checkpoint_epoch_0800.pth,398727402,380.26 MB,800,0.11217881763108419,0.08572153011708629,True,True,True,True,800,,0.07386583370519113,,0.07405473156465427,0.010211962399949407,0.11217881763108419,0.08572153011708629,33219694,0
outputs/combined/checkpoints/latest_checkpoint.pth,latest_checkpoint.pth,398725786,380.25 MB,800,0.11217881763108419,0.08572153011708629,True,True,True,True,800,,0.07386583370519113,,0.07405473156465427,0.010211962399949407,0.11217881763108419,0.08572153011708629,33219694,0
